dispute_id,payment_id,amount,fee,raised_at_ist,reversed_at_ist
disp_000000000001,pay_00000000000154,620.40,300.00,2025-11-26T13:21:33+05:30,
disp_000000000002,pay_00000000002704,1006.14,300.00,2025-11-28T06:05:08+05:30,
disp_000000000003,pay_00000000002226,160.14,300.00,2025-11-30T22:06:33+05:30,
disp_000000000004,pay_00000000002493,326.31,300.00,2025-11-26T13:17:21+05:30,
disp_000000000005,pay_00000000003190,595.43,300.00,2025-11-30T06:15:22+05:30,
disp_000000000006,pay_00000000004143,214.32,300.00,2025-11-26T19:31:27+05:30,
disp_000000000007,pay_00000000000001,2582.23,300.00,2025-11-26T18:56:49+05:30,2025-12-03T12:20:44+05:30
disp_000000000008,pay_00000000000465,738.00,300.00,2025-11-30T04:45:25+05:30,
disp_000000000009,pay_00000000002288,1076.99,300.00,2025-11-30T12:01:40+05:30,
disp_000000000010,pay_00000000004077,443.20,300.00,2025-11-30T14:27:46+05:30,
disp_000000000011,pay_00000000001024,685.47,300.00,2025-11-30T18:17:20+05:30,
disp_000000000012,pay_00000000001056,997.00,300.00,2025-11-30T22:31:11+05:30,
disp_000000000013,pay_00000000002846,190.99,300.00,2025-11-30T09:57:22+05:30,
disp_000000000014,pay_00000000002100,538.00,300.00,2025-11-11T14:20:33+05:30,2025-11-28T20:55:25+05:30
disp_000000000015,pay_00000000000606,187.26,300.00,2025-11-26T22:10:58+05:30,2025-12-03T22:38:02+05:30
disp_000000000016,pay_00000000003275,3510.99,300.00,2025-11-08T16:22:27+05:30,
disp_000000000017,pay_00000000002703,575.99,300.00,2025-11-30T08:52:33+05:30,
disp_000000000018,pay_00000000001371,2258.99,300.00,2025-11-19T14:53:31+05:30,
disp_000000000019,pay_00000000000888,1066.46,300.00,2025-11-21T13:34:42+05:30,2025-12-02T13:54:32+05:30
disp_000000000020,pay_00000000002844,913.99,300.00,2025-11-25T10:34:29+05:30,
disp_000000000021,pay_00000000001377,1830.00,300.00,2025-11-15T19:55:52+05:30,
disp_000000000022,pay_00000000001077,608.86,300.00,2025-11-30T21:31:54+05:30,
disp_000000000023,pay_00000000000414,169.13,300.00,2025-11-30T19:58:50+05:30,
disp_000000000024,pay_00000000000191,861.99,300.00,2025-11-30T23:25:46+05:30,
disp_000000000025,pay_00000000003728,455.00,300.00,2025-11-30T23:44:05+05:30,
disp_000000000026,pay_00000000003151,11745.99,300.00,2025-11-28T11:13:38+05:30,2025-12-03T10:03:34+05:30
disp_000000000027,pay_00000000002823,148.90,300.00,2025-11-20T15:29:41+05:30,
disp_000000000028,pay_00000000000794,183.99,300.00,2025-11-23T09:33:55+05:30,
disp_000000000029,pay_00000000001780,948.99,300.00,2025-11-30T07:46:55+05:30,
disp_000000000030,pay_00000000001223,1065.76,300.00,2025-11-11T07:36:15+05:30,
disp_000000000031,pay_00000000002661,506.99,300.00,2025-11-30T15:12:15+05:30,
disp_000000000032,pay_00000000001472,897.00,300.00,2025-11-30T15:45:25+05:30,
disp_000000000033,pay_00000000003764,793.00,300.00,2025-11-25T10:57:52+05:30,
disp_000000000034,pay_00000000001462,591.00,300.00,2025-11-30T00:31:10+05:30,
disp_000000000035,pay_00000000001896,318.00,300.00,2025-11-30T17:30:41+05:30,
disp_000000000036,pay_00000000002290,613.62,300.00,2025-11-30T09:55:15+05:30,
disp_000000000037,pay_00000000001875,1237.80,300.00,2025-11-30T13:31:46+05:30,
disp_000000000038,pay_00000000002380,5504.00,300.00,2025-11-30T09:37:25+05:30,
disp_000000000039,pay_00000000004127,147.00,300.00,2025-11-27T06:57:28+05:30,
disp_000000000040,pay_00000000001252,202.80,300.00,2025-11-30T05:40:09+05:30,
