bank_txn_id,value_date,amount,narration
bnk_000000000001,2025-11-04,50301.44,RTGS CR HDFCR220251104662516 RAZORPAYSOF SETTLMNT
bnk_000000000002,2025-11-04,9280.73,NEFT-HDFCN32025110482441423-RAZORPAYSO
bnk_000000000003,2025-11-04,18647.93,IMPS/86508 6087164/RZP SETTLEMENT/PAYOUT//714685
bnk_000000000004,2025-11-04,74059.05,RTGS CR  RAZORPAYSOFTWAREP SETTLMNT
bnk_000000000005,2025-11-04,69082.96,NEFT-HDFCN3202511040294-RAZORPAYSOF-HDFC-SETTLEMENT
bnk_000000000006,2025-11-05,23725.36,RAZORPAY SOFTWARE PVT LTD SETTLEMENT CREDIT
bnk_000000000007,2025-11-06,30769.25,NEFT-HDFCN22025110668499249-RAZORPAY SOFT PVT L-HDFC-SETTLEMENT
bnk_000000000008,2025-11-06,88571.59,IMPS/49604289 7383/RAZORPAY SOFTWARE P
bnk_000000000009,2025-11-06,130194.92,RTGS CR HDFCR52025110689 RZP SETTLEMEN
bnk_000000000010,2025-11-06,122659.14,NEFT--RZPY SOFTWARE-HDFC-SETTLEMENT
bnk_000000000207,2025-11-06,6074.41,RESERVE RELEASE CR HDFCN52025110631385423 RZPY SOFTWARE
bnk_000000000011,2025-11-07,78814.74,IMPS/579709736573/RAZORPAYSOFTWAREP/PAYOUT
bnk_000000000012,2025-11-07,58483.21,Neft-Hdfcn12025110767981131-Rzp Settlement-Hdfc-Settlement
bnk_000000000013,2025-11-10,6347.28,RTGS CR HDFCR820251110913867 RZP SETTLEMENT SETTLMNT
bnk_000000000014,2025-11-10,44530.37,Neft-Hdfcn620Z5111066632571-Rzp  Settlement-Hdfc-Settlement
bnk_000000000015,2025-11-10,193523.32,NEFT-HDFCN52025111047046486-RAZORPAYSOF-HDFC-SETTLEMENT
bnk_000000000016,2025-11-10,101587.87,UPI/794130621215/PAYOUT/RAZORPAY  SOFTWARE  PVT LTD
bnk_000000000092,2025-11-10,-316.93,NEFT-DR-HDFCN72025111017026557-REFUND-rfnd_000000000024
bnk_000000000116,2025-11-10,-2814.00,NEFT-DR-HDFCN32025111024139604-REFUND-rfnd_000000000086
bnk_000000000134,2025-11-10,-1997.99,REFUND RECOVERY rfnd_000000000153 RAZORPAY SOFTWARE PRIVATE LIMITED
bnk_000000000144,2025-11-10,-1007.41,NEFT-DR-HDFCN32025111066196213-REFUND-rfnd_000000000170
bnk_000000000150,2025-11-10,-502.50,DEBIT/rfnd_000000000183/REFUND ADJ/RAZORPAY SOFTWARE PVT LTD//37558
bnk_000000000208,2025-11-10,2460.59,rolling reserve rel/hdfcn72025111007148123/razorpay software private limited
bnk_000000000017,2025-11-11,20990.35,RTGS CR HDFCR120251111051565 RZPY SOFTWARE SETTLMNT
bnk_000000000018,2025-11-11,42976.73,NEFT/HDFCN32025111169445647/RAZORPAYSOF/HDFC/SETTLEMENT
bnk_000000000019,2025-11-11,68539.64,RTGS CR HDFCR120251111670716 RAZORPAYSOFTWAREP SETTLMNT
bnk_000000000020,2025-11-11,72690.76,UPI/951265824725/PAYOUT/RZP SETTLEMENT//5517
bnk_000000000124,2025-11-11,-2865.23,NEFT-DR-HDFCN42025111146124293-REFUND-rfnd_000000000125//71282
bnk_000000000148,2025-11-11,-778.92,REFUND RECOVERY rfnd_000000000180 RZP SETTLEMENT
bnk_000000000175,2025-11-11,-423.00,REFUND  RECOVERY  rfnd_000000000255 RAZORPAYSOF
bnk_000000000196,2025-11-11,-3510.99,CB-DEBIT-disp_000000000016-CARD NETWORK
bnk_000000000206,2025-11-11,11394.31,RESERVE RELEASE CR HDFCN42025111127742053 RAZORPAYSOFTWAREP//89074
bnk_000000000021,2025-11-12,45127.12,IMPS/308510487613/RAZORPAYSOF/PAYOUT
bnk_000000000022,2025-11-12,118130.70,UPI/819972982562/PAYOUT/RAZORPAY SOFT PVT L
bnk_000000000023,2025-11-12,201726.28,NEFT-HDFCN62025111254479581-RAZORPAYSOFTWAREP-HDFC-SETTLEMENT
bnk_000000000026,2025-11-12,157317.90,IMPS/633582050489/RZPY SOFTWARE/PAYOUT
bnk_000000000090,2025-11-12,-383.20,DEBIT/rfnd_000000000015/REFUND ADJ/RAZORPAY SOFTWARE PVT LTD
