refund_id,payment_id,amount,created_at_ist,netted_flag
rfnd_000000000001,pay_00000000000984,383.82,2025-11-09T16:56:06+05:30,1
rfnd_000000000002,pay_00000000003262,704.00,2025-11-30T16:40:21+05:30,1
rfnd_000000000003,pay_00000000000740,467.38,2025-11-22T17:40:32+05:30,0
rfnd_000000000004,pay_00000000002121,246.62,2025-11-28T04:48:16+05:30,1
rfnd_000000000005,pay_00000000001670,2060.00,2025-11-07T22:15:35+05:30,1
rfnd_000000000006,pay_00000000003813,349.28,2025-11-30T22:47:47+05:30,0
rfnd_000000000007,pay_00000000000464,1743.99,2025-11-19T15:54:16+05:30,1
rfnd_000000000008,pay_00000000000122,269.22,2025-11-17T10:42:09+05:30,1
rfnd_000000000009,pay_00000000001258,598.01,2025-11-23T19:49:12+05:30,1
rfnd_000000000010,pay_00000000001218,2436.00,2025-11-18T13:52:59+05:30,1
rfnd_000000000011,pay_00000000003981,1930.00,2025-11-11T23:47:27+05:30,1
rfnd_000000000012,pay_00000000000061,958.74,2025-11-12T20:18:36+05:30,1
rfnd_000000000013,pay_00000000003852,440.93,2025-11-30T17:13:24+05:30,0
rfnd_000000000014,pay_00000000003564,247.48,2025-11-19T05:09:31+05:30,1
rfnd_000000000015,pay_00000000003839,383.20,2025-11-08T14:40:37+05:30,0
rfnd_000000000016,pay_00000000002743,86.74,2025-11-18T11:19:34+05:30,1
rfnd_000000000017,pay_00000000003157,169.85,2025-11-09T07:47:22+05:30,0
rfnd_000000000018,pay_00000000003266,380.21,2025-11-25T16:56:11+05:30,1
rfnd_000000000019,pay_00000000002314,1026.20,2025-11-27T19:57:50+05:30,1
rfnd_000000000020,pay_00000000001042,445.63,2025-11-30T18:31:30+05:30,1
rfnd_000000000021,pay_00000000000702,2479.52,2025-11-30T14:35:39+05:30,1
rfnd_000000000022,pay_00000000000706,2601.61,2025-11-24T21:55:50+05:30,1
rfnd_000000000023,pay_00000000003478,177.79,2025-11-14T17:13:07+05:30,1
rfnd_000000000024,pay_00000000002004,316.93,2025-11-05T17:30:05+05:30,0
rfnd_000000000025,pay_00000000002051,2253.30,2025-11-16T07:58:05+05:30,0
rfnd_000000000026,pay_00000000003592,850.00,2025-11-30T02:13:41+05:30,1
rfnd_000000000027,pay_00000000002707,1972.00,2025-11-30T20:16:10+05:30,1
rfnd_000000000028,pay_00000000001364,134.00,2025-11-06T11:52:05+05:30,1
rfnd_000000000029,pay_00000000000453,685.67,2025-11-21T21:09:52+05:30,0
rfnd_000000000030,pay_00000000004060,524.25,2025-11-30T17:12:17+05:30,0
rfnd_000000000031,pay_00000000000750,372.71,2025-11-27T17:07:57+05:30,1
rfnd_000000000032,pay_00000000004166,1016.00,2025-11-17T22:44:56+05:30,0
rfnd_000000000033,pay_00000000002956,99.64,2025-11-26T17:36:44+05:30,1
rfnd_000000000034,pay_00000000001293,377.00,2025-11-30T11:04:10+05:30,1
rfnd_000000000035,pay_00000000001491,575.21,2025-11-30T22:05:07+05:30,1
rfnd_000000000036,pay_00000000003715,595.75,2025-11-17T01:43:03+05:30,0
rfnd_000000000037,pay_00000000004169,1079.00,2025-11-14T14:40:17+05:30,0
rfnd_000000000038,pay_00000000000892,747.76,2025-11-20T05:35:37+05:30,1
rfnd_000000000039,pay_00000000003703,906.00,2025-11-20T08:31:15+05:30,0
rfnd_000000000040,pay_00000000003705,1001.04,2025-11-30T20:56:46+05:30,1
rfnd_000000000041,pay_00000000000635,114.01,2025-11-18T20:46:18+05:30,0
rfnd_000000000042,pay_00000000003805,6270.81,2025-11-17T08:10:55+05:30,1
rfnd_000000000043,pay_00000000000847,760.00,2025-11-24T16:56:32+05:30,1
rfnd_000000000044,pay_00000000004082,217.00,2025-11-15T22:50:31+05:30,1
rfnd_000000000045,pay_00000000001338,126.44,2025-11-30T15:44:50+05:30,0
rfnd_000000000046,pay_00000000002996,620.00,2025-11-22T06:51:16+05:30,0
rfnd_000000000047,pay_00000000000845,772.33,2025-11-30T13:19:16+05:30,1
rfnd_000000000048,pay_00000000000773,492.99,2025-11-19T12:03:44+05:30,1
rfnd_000000000049,pay_00000000002529,484.76,2025-11-23T05:30:13+05:30,1
rfnd_000000000050,pay_00000000002235,566.52,2025-11-19T17:50:51+05:30,1
rfnd_000000000051,pay_00000000001024,685.47,2025-11-30T19:49:18+05:30,1
rfnd_000000000052,pay_00000000001842,10540.52,2025-11-23T03:04:24+05:30,0
rfnd_000000000053,pay_00000000003243,720.75,2025-11-27T10:09:23+05:30,1
rfnd_000000000054,pay_00000000000267,299.19,2025-11-27T09:05:12+05:30,0
rfnd_000000000055,pay_00000000003949,123.99,2025-11-30T08:57:22+05:30,0
rfnd_000000000056,pay_00000000002591,897.10,2025-11-12T09:10:37+05:30,1
rfnd_000000000057,pay_00000000003523,667.85,2025-11-30T13:49:31+05:30,0
rfnd_000000000058,pay_00000000003423,397.42,2025-11-14T09:47:58+05:30,1
rfnd_000000000059,pay_00000000003321,628.05,2025-11-30T18:34:29+05:30,1
rfnd_000000000060,pay_00000000001306,615.00,2025-11-24T16:47:43+05:30,1
rfnd_000000000061,pay_00000000000217,338.64,2025-11-27T07:26:29+05:30,0
rfnd_000000000062,pay_00000000004141,15756.00,2025-11-14T18:42:15+05:30,0
rfnd_000000000063,pay_00000000000749,484.40,2025-11-23T19:20:41+05:30,1
rfnd_000000000064,pay_00000000003469,47.99,2025-11-09T23:49:36+05:30,1
rfnd_000000000065,pay_00000000000130,117.25,2025-11-25T13:32:59+05:30,0
rfnd_000000000066,pay_00000000004033,980.00,2025-11-19T16:46:57+05:30,1
rfnd_000000000067,pay_00000000003550,538.00,2025-11-07T20:57:48+05:30,1
rfnd_000000000068,pay_00000000003061,1756.00,2025-11-08T15:56:05+05:30,1
rfnd_000000000069,pay_00000000002712,706.23,2025-11-12T15:53:28+05:30,0
rfnd_000000000070,pay_00000000002429,192.69,2025-11-16T21:27:08+05:30,1
rfnd_000000000071,pay_00000000003841,633.57,2025-11-10T21:27:58+05:30,0
rfnd_000000000072,pay_00000000001292,401.00,2025-11-19T00:15:49+05:30,1
rfnd_000000000073,pay_00000000001033,477.00,2025-11-13T15:56:09+05:30,1
rfnd_000000000074,pay_00000000002539,256.46,2025-11-27T18:37:55+05:30,0
rfnd_000000000075,pay_00000000001865,413.93,2025-11-12T01:37:27+05:30,1
rfnd_000000000076,pay_00000000002054,286.00,2025-11-24T16:51:18+05:30,1
rfnd_000000000077,pay_00000000003772,71.67,2025-11-10T09:52:36+05:30,0
rfnd_000000000078,pay_00000000001520,559.99,2025-11-28T21:38:40+05:30,1
rfnd_000000000079,pay_00000000003623,638.99,2025-11-24T13:01:04+05:30,1
rfnd_000000000080,pay_00000000004123,825.58,2025-11-27T13:07:34+05:30,1
rfnd_000000000081,pay_00000000000798,164.99,2025-11-30T06:45:50+05:30,0
rfnd_000000000082,pay_00000000003743,414.03,2025-11-12T13:28:24+05:30,1
rfnd_000000000083,pay_00000000001770,519.00,2025-11-06T09:34:06+05:30,1
rfnd_000000000084,pay_00000000001201,431.99,2025-11-09T19:51:40+05:30,0
rfnd_000000000085,pay_00000000000804,1733.91,2025-11-27T20:38:05+05:30,1
rfnd_000000000086,pay_00000000000431,2814.00,2025-11-06T10:37:19+05:30,0
rfnd_000000000087,pay_00000000002870,760.99,2025-11-07T03:19:17+05:30,1
rfnd_000000000088,pay_00000000001425,476.38,2025-11-20T15:15:24+05:30,0
rfnd_000000000089,pay_00000000002512,297.38,2025-11-13T17:16:10+05:30,1
rfnd_000000000090,pay_00000000000924,924.00,2025-11-12T16:03:55+05:30,1
rfnd_000000000091,pay_00000000000297,389.00,2025-11-30T15:00:43+05:30,1
rfnd_000000000092,pay_00000000001892,1297.29,2025-11-30T09:17:49+05:30,0
rfnd_000000000093,pay_00000000002988,14255.16,2025-11-23T13:20:28+05:30,0
rfnd_000000000094,pay_00000000002287,641.07,2025-11-23T08:18:34+05:30,1
rfnd_000000000095,pay_00000000001303,935.53,2025-11-30T11:30:56+05:30,1
rfnd_000000000096,pay_00000000002541,667.00,2025-11-30T21:50:02+05:30,1
rfnd_000000000097,pay_00000000000391,991.00,2025-11-22T09:58:27+05:30,1
rfnd_000000000098,pay_00000000000403,546.31,2025-11-07T07:41:21+05:30,1
rfnd_000000000099,pay_00000000001110,51.25,2025-11-25T15:01:23+05:30,1
