reserve_id,amount,held_on,release_date,released_at_ist,netted_flag
rsrv_T1RNGA_0001,16078.80,2025-08-08,2025-11-06,2025-11-06T15:12:31+05:30,1
rsrv_T1RNGA_0002,5033.35,2025-08-29,2025-11-27,2025-11-27T12:30:24+05:30,0
rsrv_T1RNGA_0003,17617.85,2025-09-04,2025-12-03,2025-12-03T23:23:40+05:30,0
rsrv_T1RNGA_0004,9508.44,2025-08-26,2025-11-24,2025-11-24T17:01:04+05:30,1
rsrv_T1RNGA_0005,15850.80,2025-08-29,2025-11-27,2025-11-27T09:08:13+05:30,1
rsrv_T1RNGA_0006,11335.71,2025-08-09,2025-11-07,2025-11-07T04:45:33+05:30,1
rsrv_T1RNGA_0007,6539.29,2025-09-02,2025-12-01,2025-12-01T23:34:02+05:30,1
rsrv_T1RNGA_0008,12586.39,2025-08-13,2025-11-11,2025-11-11T00:47:28+05:30,1
rsrv_T1RNGA_0009,16820.19,2025-08-12,2025-11-10,2025-11-10T12:01:07+05:30,1
rsrv_T1RNGA_0010,15659.35,2025-08-31,2025-11-29,2025-11-29T10:02:40+05:30,1
rsrv_T1RNGA_0011,17302.12,2025-08-21,2025-11-19,2025-11-19T07:53:44+05:30,1
rsrv_T1RNGA_0012,3444.98,2025-08-13,2025-11-11,2025-11-11T21:36:38+05:30,1
rsrv_T1RNGA_0013,17184.43,2025-08-23,2025-11-21,2025-11-21T19:20:15+05:30,1
rsrv_T1RNGA_0014,9232.98,2025-08-08,2025-11-06,2025-11-06T19:11:09+05:30,1
rsrv_T1RNGA_0015,9841.62,2025-08-12,2025-11-10,2025-11-10T13:43:36+05:30,1
rsrv_T1RNGA_0016,16104.13,2025-08-23,2025-11-21,2025-11-21T19:50:50+05:30,1
rsrv_T1RNGA_0017,11394.31,2025-08-13,2025-11-11,2025-11-11T20:03:51+05:30,0
rsrv_T1RNGA_0018,6074.41,2025-08-08,2025-11-06,2025-11-06T14:45:33+05:30,0
rsrv_T1RNGA_0019,2460.59,2025-08-12,2025-11-10,2025-11-10T06:44:11+05:30,0
rsrv_T1RNGA_0020,9363.77,2025-09-04,2025-12-03,2025-12-03T05:40:20+05:30,0
rsrv_T1RNGA_0021,13111.30,2025-08-20,2025-11-18,2025-11-18T22:59:00+05:30,1
