refund_id,payment_id,amount,created_at_ist,netted_flag
rfnd_000000000001,pay_00000000001384,63488.99,2025-11-19T21:32:55+05:30,0
rfnd_000000000002,pay_00000000000117,143843.00,2025-11-06T06:07:04+05:30,1
rfnd_000000000003,pay_00000000000611,2063.00,2025-11-28T17:06:44+05:30,1
rfnd_000000000004,pay_00000000000290,34920.56,2025-11-14T22:15:16+05:30,1
rfnd_000000000005,pay_00000000000645,7955.84,2025-11-27T15:52:26+05:30,1
rfnd_000000000006,pay_00000000000487,12247.04,2025-11-30T17:11:49+05:30,1
rfnd_000000000007,pay_00000000000440,21006.99,2025-11-03T00:24:16+05:30,1
rfnd_000000000008,pay_00000000001483,99167.51,2025-11-07T23:40:48+05:30,0
rfnd_000000000009,pay_00000000000827,85981.78,2025-11-24T13:40:34+05:30,1
rfnd_000000000010,pay_00000000000932,17719.10,2025-11-29T15:42:00+05:30,1
rfnd_000000000011,pay_00000000001147,39250.44,2025-11-16T14:12:19+05:30,1
rfnd_000000000012,pay_00000000001083,17719.10,2025-11-20T16:02:25+05:30,0
rfnd_000000000013,pay_00000000001244,24837.21,2025-11-15T20:47:18+05:30,1
rfnd_000000000014,pay_00000000000022,4513.99,2025-11-25T05:18:08+05:30,1
rfnd_000000000015,pay_00000000001442,1900.58,2025-11-19T13:30:37+05:30,0
rfnd_000000000016,pay_00000000001185,4018.00,2025-11-30T22:35:19+05:30,0
rfnd_000000000017,pay_00000000000845,10912.00,2025-11-21T12:17:03+05:30,1
rfnd_000000000018,pay_00000000000016,3291.00,2025-11-30T12:16:55+05:30,0
rfnd_000000000019,pay_00000000000537,18533.40,2025-11-30T23:43:18+05:30,0
rfnd_000000000020,pay_00000000001081,22270.80,2025-11-07T06:26:06+05:30,1
rfnd_000000000021,pay_00000000001295,34619.02,2025-11-13T07:26:39+05:30,1
rfnd_000000000022,pay_00000000001233,2345.68,2025-11-29T04:21:20+05:30,0
rfnd_000000000023,pay_00000000000058,6953.03,2025-11-07T16:02:52+05:30,1
rfnd_000000000024,pay_00000000001401,2809.00,2025-11-27T13:53:53+05:30,1
rfnd_000000000025,pay_00000000001134,6563.02,2025-11-13T16:55:15+05:30,0
rfnd_000000000026,pay_00000000000042,21323.10,2025-11-07T22:33:50+05:30,0
rfnd_000000000027,pay_00000000000033,57804.59,2025-11-06T12:00:46+05:30,1
rfnd_000000000028,pay_00000000001178,3179.99,2025-11-05T09:30:17+05:30,0
rfnd_000000000029,pay_00000000000568,61367.99,2025-11-13T20:45:20+05:30,1
rfnd_000000000030,pay_00000000001209,126380.99,2025-11-25T23:12:31+05:30,1
rfnd_000000000031,pay_00000000000554,4553.00,2025-11-30T14:08:55+05:30,0
rfnd_000000000032,pay_00000000000794,1084.64,2025-11-04T18:10:00+05:30,1
rfnd_000000000033,pay_00000000001327,172973.99,2025-11-13T09:18:44+05:30,1
rfnd_000000000034,pay_00000000000685,12089.00,2025-11-18T20:40:17+05:30,1
rfnd_000000000035,pay_00000000000139,9856.00,2025-11-17T13:31:28+05:30,0
rfnd_000000000036,pay_00000000000856,22213.00,2025-11-15T18:52:28+05:30,1
rfnd_000000000037,pay_00000000000860,2400.99,2025-11-23T17:55:52+05:30,0
rfnd_000000000038,pay_00000000000615,42142.00,2025-11-16T23:09:48+05:30,0
rfnd_000000000039,pay_00000000000244,8757.99,2025-11-11T00:59:22+05:30,1
rfnd_000000000040,pay_00000000000936,15899.93,2025-11-05T19:47:32+05:30,1
rfnd_000000000041,pay_00000000000598,59011.55,2025-11-30T20:31:32+05:30,0
rfnd_000000000042,pay_00000000001155,69577.69,2025-11-14T02:07:11+05:30,1
rfnd_000000000043,pay_00000000000514,101411.99,2025-11-22T10:52:08+05:30,1
rfnd_000000000044,pay_00000000000183,5205.78,2025-11-27T18:00:46+05:30,0
rfnd_000000000045,pay_00000000001090,21946.57,2025-11-19T23:35:28+05:30,1
rfnd_000000000046,pay_00000000000591,16959.58,2025-11-09T19:31:12+05:30,0
rfnd_000000000047,pay_00000000000747,13775.96,2025-11-21T06:49:36+05:30,1
rfnd_000000000048,pay_00000000000237,24089.00,2025-11-30T19:09:31+05:30,1
rfnd_000000000049,pay_00000000000067,80042.83,2025-11-27T15:04:02+05:30,1
rfnd_000000000050,pay_00000000000257,2755.00,2025-11-27T21:50:11+05:30,1
rfnd_000000000051,pay_00000000000675,40945.16,2025-11-28T08:06:43+05:30,1
