reserve_id,amount,held_on,release_date,released_at_ist,netted_flag
rsrv_mrch_T3RNGC_0001,12143.99,2025-09-04,2025-12-03,2025-12-03T23:52:52+05:30,0
rsrv_mrch_T3RNGC_0002,9547.76,2025-08-09,2025-11-07,2025-11-07T12:18:31+05:30,1
rsrv_mrch_T3RNGC_0003,4224.36,2025-09-04,2025-12-03,2025-12-03T00:16:31+05:30,1
rsrv_mrch_T3RNGC_0004,15488.56,2025-08-12,2025-11-10,2025-11-10T13:19:42+05:30,1
rsrv_mrch_T3RNGC_0005,15099.56,2025-08-09,2025-11-07,2025-11-07T21:59:52+05:30,0
rsrv_mrch_T3RNGC_0006,14113.55,2025-08-20,2025-11-18,2025-11-18T11:27:42+05:30,0
rsrv_mrch_T3RNGC_0007,13321.48,2025-08-26,2025-11-24,2025-11-24T20:15:42+05:30,1
rsrv_mrch_T3RNGC_0008,7389.55,2025-08-21,2025-11-19,2025-11-19T13:49:13+05:30,1
rsrv_mrch_T3RNGC_0009,5415.86,2025-08-08,2025-11-06,2025-11-06T08:01:40+05:30,0
rsrv_mrch_T3RNGC_0010,10016.59,2025-08-17,2025-11-15,2025-11-15T19:41:19+05:30,1
rsrv_mrch_T3RNGC_0011,6268.04,2025-08-31,2025-11-29,2025-11-29T23:06:12+05:30,1
rsrv_mrch_T3RNGC_0012,7772.66,2025-08-06,2025-11-04,2025-11-04T10:56:42+05:30,1
rsrv_mrch_T3RNGC_0013,9306.25,2025-08-14,2025-11-12,2025-11-12T18:19:09+05:30,1
rsrv_mrch_T3RNGC_0014,5438.63,2025-09-03,2025-12-02,2025-12-02T13:56:58+05:30,1
rsrv_mrch_T3RNGC_0015,2276.81,2025-09-03,2025-12-02,2025-12-02T18:35:27+05:30,0
rsrv_mrch_T3RNGC_0016,3945.60,2025-08-22,2025-11-20,2025-11-20T13:35:44+05:30,1
rsrv_mrch_T3RNGC_0017,4067.02,2025-08-09,2025-11-07,2025-11-07T23:44:41+05:30,1
rsrv_mrch_T3RNGC_0018,15345.76,2025-08-29,2025-11-27,2025-11-27T12:53:24+05:30,0
rsrv_mrch_T3RNGC_0019,8146.29,2025-08-20,2025-11-18,2025-11-18T14:15:33+05:30,1
rsrv_mrch_T3RNGC_0020,6820.71,2025-08-21,2025-11-19,2025-11-19T09:17:51+05:30,1
rsrv_mrch_T3RNGC_0021,3637.02,2025-08-13,2025-11-11,2025-11-11T06:39:11+05:30,1
