settlement_id,settle_date,cycle,split
setl_T3RNGC_0001,2025-11-03,0,train
setl_T3RNGC_0002,2025-11-04,1,train
setl_T3RNGC_0003,2025-11-04,2,train
setl_T3RNGC_0004,2025-11-06,0,train
setl_T3RNGC_0005,2025-11-06,1,train
setl_T3RNGC_0006,2025-11-06,2,train
setl_T3RNGC_0007,2025-11-07,1,train
setl_T3RNGC_0008,2025-11-07,2,train
setl_T3RNGC_0009,2025-11-10,1,train
setl_T3RNGC_0010,2025-11-10,2,train
setl_T3RNGC_0011,2025-11-11,1,train
setl_T3RNGC_0012,2025-11-11,2,train
setl_T3RNGC_0013,2025-11-12,1,train
setl_T3RNGC_0014,2025-11-12,2,train
setl_T3RNGC_0015,2025-11-13,1,train
setl_T3RNGC_0016,2025-11-13,2,train
setl_T3RNGC_0017,2025-11-15,1,train
setl_T3RNGC_0018,2025-11-15,2,train
setl_T3RNGC_0019,2025-11-17,1,train
setl_T3RNGC_0020,2025-11-17,2,train
setl_T3RNGC_0021,2025-11-18,1,train
setl_T3RNGC_0022,2025-11-18,2,train
setl_T3RNGC_0023,2025-11-19,1,dev
setl_T3RNGC_0024,2025-11-19,2,dev
setl_T3RNGC_0025,2025-11-20,1,dev
setl_T3RNGC_0026,2025-11-20,2,dev
setl_T3RNGC_0027,2025-11-21,1,dev
setl_T3RNGC_0028,2025-11-21,2,dev
setl_T3RNGC_0029,2025-11-24,1,dev
setl_T3RNGC_0030,2025-11-24,2,dev
setl_T3RNGC_0031,2025-11-26,1,test
setl_T3RNGC_0032,2025-11-26,2,test
setl_T3RNGC_0033,2025-11-27,1,test
setl_T3RNGC_0034,2025-11-27,2,test
setl_T3RNGC_0035,2025-11-28,1,test
setl_T3RNGC_0036,2025-11-28,2,test
setl_T3RNGC_0037,2025-11-29,1,test
setl_T3RNGC_0038,2025-11-29,2,test
setl_T3RNGC_0039,2025-12-01,1,test
setl_T3RNGC_0040,2025-12-01,2,test
setl_T3RNGC_0041,2025-12-02,1,test
setl_T3RNGC_0042,2025-12-02,2,test
setl_T3RNGC_0043,2025-12-03,1,test
setl_T3RNGC_0044,2025-12-03,2,test
