bank_txn_id,settlement_id,component,amount,split
bnk_000000000001,setl_mrch_T3RNGC_0001,gross,529132.53,train
bnk_000000000001,setl_mrch_T3RNGC_0001,platform_fee,-4254.88,train
bnk_000000000001,setl_mrch_T3RNGC_0001,gst_on_fee,-765.86,train
bnk_000000000001,setl_mrch_T3RNGC_0001,tds_194o,-3274.66,train
bnk_000000000001,setl_mrch_T3RNGC_0001,TOTAL_bank_credit,520837.13,train
bnk_000000000002,setl_mrch_T3RNGC_0002,gross,533410.23,train
bnk_000000000002,setl_mrch_T3RNGC_0002,platform_fee,-5536.95,train
bnk_000000000002,setl_mrch_T3RNGC_0002,gst_on_fee,-996.66,train
bnk_000000000002,setl_mrch_T3RNGC_0002,tds_194o,-2958.37,train
bnk_000000000002,setl_mrch_T3RNGC_0002,reserve_held,-13076.12,train
bnk_000000000002,setl_mrch_T3RNGC_0002,reserve_released,7772.66,train
bnk_000000000002,setl_mrch_T3RNGC_0002,TOTAL_bank_credit,518614.79,train
bnk_000000000005,setl_mrch_T3RNGC_0003,gross,1607153.37,train
bnk_000000000005,setl_mrch_T3RNGC_0003,platform_fee,-11852.39,train
bnk_000000000005,setl_mrch_T3RNGC_0003,gst_on_fee,-2133.44,train
bnk_000000000005,setl_mrch_T3RNGC_0003,tds_194o,-12067.56,train
bnk_000000000005,setl_mrch_T3RNGC_0003,reserve_held,-30656.80,train
bnk_000000000005,setl_mrch_T3RNGC_0003,TOTAL_bank_credit,1550443.18,train
bnk_000000000006,setl_mrch_T3RNGC_0004,gross,975420.05,train
bnk_000000000006,setl_mrch_T3RNGC_0004,platform_fee,-10684.73,train
bnk_000000000006,setl_mrch_T3RNGC_0004,gst_on_fee,-1923.25,train
bnk_000000000006,setl_mrch_T3RNGC_0004,tds_194o,-9287.41,train
bnk_000000000006,setl_mrch_T3RNGC_0004,TOTAL_bank_credit,953524.66,train
bnk_000000000007,setl_mrch_T3RNGC_0005,gross,81641.35,train
bnk_000000000007,setl_mrch_T3RNGC_0005,platform_fee,-413.90,train
bnk_000000000007,setl_mrch_T3RNGC_0005,gst_on_fee,-74.50,train
bnk_000000000007,setl_mrch_T3RNGC_0005,tds_194o,-816.42,train
