bank_txn_id,true_utr,corruption_ops,kind,reference_entity,utr_survives_verbatim
bnk_000000000001,ICICR520251103425964,junk_suffix,payout_credit,setl_T3RNGC_0001,1
bnk_000000000002,D561QYFDZXHTKQUI,separator_swap,payout_credit,setl_T3RNGC_0002,1
bnk_000000000003,ICICR620251104173327,failed_payout_original,payout_credit_reversed,setl_T3RNGC_0003,1
bnk_000000000004,ICICR620251104173327,payout_return,payout_return,setl_T3RNGC_0003,1
bnk_000000000005,ICICR720251104806221,split_utr|retry_new_utr,payout_credit,setl_T3RNGC_0003,0
bnk_000000000006,ICICN62025110644016584,whitespace_noise,payout_credit,setl_T3RNGC_0004,1
bnk_000000000007,ICICN42025110633941987,drop_utr|whitespace_noise,payout_credit,setl_T3RNGC_0005,0
bnk_000000000008,ICICN42025110610546208,separator_swap,payout_credit,setl_T3RNGC_0006,1
bnk_000000000009,M8IL62Y82ZCK2R46,no_utr_in_source,payout_credit,setl_T3RNGC_0007,0
bnk_000000000010,ICICR520251107693888,truncate_utr:2,payout_credit,setl_T3RNGC_0008,0
bnk_000000000011,ICICN12025111047729650,charswap_utr:2|separator_swap|junk_suffix,payout_credit,setl_T3RNGC_0009,0
bnk_000000000012,S295O95UXKVMWH6Q,no_utr_in_source,payout_credit,setl_T3RNGC_0010,0
bnk_000000000013,ICICR820251111604627,truncate_utr:3|separator_swap,payout_credit,setl_T3RNGC_0011,0
bnk_000000000014,ICICR720251111975839,truncate_utr:2|separator_swap|field_truncated_38,payout_credit,setl_T3RNGC_0012,0
bnk_000000000015,ICICR320251112178653,,payout_credit,setl_T3RNGC_0013,1
bnk_000000000016,SH0SGR59V5I5YGEO,,payout_credit,setl_T3RNGC_0014,1
bnk_000000000017,ICICR320251113360922,truncate_utr:4,payout_credit,setl_T3RNGC_0015,0
bnk_000000000018,ICICR920251113529056,charswap_utr:2,payout_credit,setl_T3RNGC_0016,0
bnk_000000000019,W9PCKZU73XYHG7FQ,,payout_credit,setl_T3RNGC_0017,1
bnk_000000000020,JN0MZSZMBPGCXROL,whitespace_noise|case_flip,payout_credit,setl_T3RNGC_0018,0
bnk_000000000021,ICICR320251117537885,truncate_utr:2|whitespace_noise|field_truncated_38,payout_credit,setl_T3RNGC_0019,0
bnk_000000000022,XOYBI8UR0YB8H6K4,,payout_credit,setl_T3RNGC_0020,1
bnk_000000000023,ICICR520251118132627,drop_utr|field_truncated_38,payout_credit,setl_T3RNGC_0021,0
bnk_000000000024,ICICN72025111803312748,junk_suffix,payout_credit,setl_T3RNGC_0022,1
bnk_000000000025,ICICN62025111985552520,junk_suffix,payout_credit,setl_T3RNGC_0023,1
bnk_000000000026,ICICR420251119723635,split_utr|whitespace_noise,payout_credit,setl_T3RNGC_0024,0
bnk_000000000027,NDGZF2RUIEHLFD1G,,payout_credit,setl_T3RNGC_0025,1
bnk_000000000028,ICICR220251120389557,charswap_utr:2,payout_credit,setl_T3RNGC_0026,0
bnk_000000000029,ICICN22025112108362500,truncate_utr:3,payout_credit,setl_T3RNGC_0027,0
bnk_000000000030,ICICN42025112182144817,drop_utr|whitespace_noise|case_flip,payout_credit,setl_T3RNGC_0028,0
bnk_000000000031,ICICR420251124431516,,payout_credit,setl_T3RNGC_0029,1
bnk_000000000032,ICICN22025112452260017,charswap_utr:2|separator_swap,payout_credit,setl_T3RNGC_0030,0
bnk_000000000033,ICICR720251126310575,case_flip,payout_credit,setl_T3RNGC_0031,0
bnk_000000000034,OEWIXZPY3OLNDN9F,charswap_utr:3|field_truncated_38,payout_credit,setl_T3RNGC_0032,0
bnk_000000000035,ICICR420251127949555,,payout_credit,setl_T3RNGC_0033,1
bnk_000000000036,7JSYCQ32XQKEIS27,no_utr_in_source,payout_credit,setl_T3RNGC_0034,0
bnk_000000000037,ICICR520251128140195,truncate_utr:2|separator_swap,payout_credit,setl_T3RNGC_0035,0
bnk_000000000038,UD82DDBHX5LPSRYM,no_utr_in_source,payout_credit,setl_T3RNGC_0036,0
bnk_000000000039,ICICN62025112974434994,charswap_utr:2,payout_credit,setl_T3RNGC_0037,0
bnk_000000000040,33NHMXGIORA7MKEJ,charswap_utr:3,payout_credit,setl_T3RNGC_0038,0
bnk_000000000041,ICICR620251201102365,charswap_utr:2,payout_credit,setl_T3RNGC_0039,0
bnk_000000000042,ICICN72025120185236775,truncate_utr:2,payout_credit,setl_T3RNGC_0040,0
bnk_000000000043,HJXRZCJM1PS5GDWC,truncate_utr:2|whitespace_noise|field_truncated_38,payout_credit,setl_T3RNGC_0041,0
bnk_000000000044,KKYG7S852UTTJNI4,case_flip,payout_credit,setl_T3RNGC_0042,0
bnk_000000000045,IRMCZ6RM5H924CF7,junk_suffix,payout_credit,setl_T3RNGC_0043,1
bnk_000000000046,ICICN82025120397110514,truncate_utr:4|junk_suffix|field_truncated_38,payout_credit,setl_T3RNGC_0044,0
bnk_000000000047,,,refund_debit,rfnd_000000000001,0
bnk_000000000048,,junk_suffix|field_truncated_38,refund_debit,rfnd_000000000008,0
bnk_000000000049,,,refund_debit,rfnd_000000000012,0
bnk_000000000050,,,refund_debit,rfnd_000000000015,0
bnk_000000000051,,separator_swap|case_flip|field_truncated_38,refund_debit,rfnd_000000000016,0
bnk_000000000052,,junk_suffix|field_truncated_38,refund_debit,rfnd_000000000018,0
bnk_000000000053,,separator_swap,refund_debit,rfnd_000000000019,0
bnk_000000000054,,whitespace_noise|field_truncated_38,refund_debit,rfnd_000000000022,0
bnk_000000000055,,case_flip,refund_debit,rfnd_000000000025,0
bnk_000000000056,,junk_suffix|whitespace_noise|case_flip,refund_debit,rfnd_000000000026,0
bnk_000000000057,,whitespace_noise,refund_debit,rfnd_000000000028,0
bnk_000000000058,,separator_swap|junk_suffix,refund_debit,rfnd_000000000031,0
bnk_000000000059,,separator_swap,refund_debit,rfnd_000000000035,0
bnk_000000000060,,junk_suffix,refund_debit,rfnd_000000000037,0
bnk_000000000061,,,refund_debit,rfnd_000000000038,0
bnk_000000000062,,separator_swap,refund_debit,rfnd_000000000041,0
bnk_000000000063,,separator_swap|whitespace_noise,refund_debit,rfnd_000000000044,0
bnk_000000000064,,,refund_debit,rfnd_000000000046,0
bnk_000000000065,,junk_suffix|whitespace_noise,refund_debit,rfnd_000000000054,0
bnk_000000000066,,,refund_debit,rfnd_000000000057,0
bnk_000000000067,,junk_suffix,refund_debit,rfnd_000000000058,0
bnk_000000000068,,junk_suffix|case_flip,refund_debit,rfnd_000000000059,0
bnk_000000000069,,,refund_debit,rfnd_000000000065,0
bnk_000000000070,,separator_swap,refund_debit,rfnd_000000000073,0
bnk_000000000071,,separator_swap,refund_debit,rfnd_000000000074,0
bnk_000000000072,,,refund_debit,rfnd_000000000077,0
bnk_000000000073,,whitespace_noise,refund_debit,rfnd_000000000082,0
bnk_000000000074,,,refund_debit,rfnd_000000000084,0
bnk_000000000075,,junk_suffix|case_flip|field_truncated_38,refund_debit,rfnd_000000000086,0
bnk_000000000076,,separator_swap|whitespace_noise|field_truncated_38,refund_debit,rfnd_000000000087,0
bnk_000000000077,,,refund_debit,rfnd_000000000089,0
bnk_000000000078,,case_flip,refund_debit,rfnd_000000000090,0
bnk_000000000079,,junk_suffix,chargeback_debit,disp_000000000005,0
bnk_000000000080,,whitespace_noise,chargeback_debit,disp_000000000006,0
bnk_000000000081,,whitespace_noise|field_truncated_38,chargeback_debit,disp_000000000011,0
bnk_000000000082,,whitespace_noise|field_truncated_38,chargeback_debit,disp_000000000012,0
bnk_000000000083,ICICN52025120304619679,case_flip,reserve_release_credit,rsrv_T3RNGC_0001,0
bnk_000000000084,ICICN72025110739217459,split_utr|junk_suffix,reserve_release_credit,rsrv_T3RNGC_0005,0
bnk_000000000085,ICICN82025111858649598,junk_suffix,reserve_release_credit,rsrv_T3RNGC_0006,1
bnk_000000000086,ICICN32025110632696388,truncate_utr:5|field_truncated_38,reserve_release_credit,rsrv_T3RNGC_0009,0
bnk_000000000087,ICICN32025120298944128,separator_swap|whitespace_noise,reserve_release_credit,rsrv_T3RNGC_0015,1
bnk_000000000088,ICICN32025112775334991,truncate_utr:3|whitespace_noise,reserve_release_credit,rsrv_T3RNGC_0018,0
