payment_id,settlement_id,bank_txn_id,amount,method,fee,gst,tds,settle_date,split,ambiguous
pay_00000000000058,setl_T3RNGC_0001,bnk_000000000001,6953.03,netbanking,29.38,5.29,0.00,2025-11-03,train,0
pay_00000000000088,setl_T3RNGC_0001,bnk_000000000001,33151.03,card,663.02,119.34,331.51,2025-11-03,train,0
pay_00000000000124,setl_T3RNGC_0001,bnk_000000000001,115764.00,card,2315.28,416.75,1157.64,2025-11-03,train,0
pay_00000000000148,setl_T3RNGC_0001,bnk_000000000001,44466.33,netbanking,123.17,22.17,444.66,2025-11-03,train,0
pay_00000000000192,setl_T3RNGC_0001,bnk_000000000001,9184.00,upi,22.96,4.13,91.84,2025-11-03,train,0
pay_00000000000236,setl_T3RNGC_0001,bnk_000000000001,38009.00,netbanking,107.02,19.26,380.09,2025-11-03,train,0
pay_00000000000596,setl_T3RNGC_0001,bnk_000000000001,7466.56,upi,18.67,3.36,74.67,2025-11-03,train,0
pay_00000000000727,setl_T3RNGC_0001,bnk_000000000001,14516.35,card,290.33,52.26,0.00,2025-11-03,train,0
pay_00000000001132,setl_T3RNGC_0001,bnk_000000000001,33875.95,upi,84.69,15.24,338.76,2025-11-03,train,0
pay_00000000001383,setl_T3RNGC_0001,bnk_000000000001,32163.97,netbanking,92.41,16.63,321.64,2025-11-03,train,0
pay_00000000001413,setl_T3RNGC_0001,bnk_000000000001,13385.00,netbanking,45.46,8.18,133.85,2025-11-03,train,0
pay_00000000001443,setl_T3RNGC_0001,bnk_000000000001,180197.31,netbanking,462.49,83.25,0.00,2025-11-03,train,0
pay_00000000000158,setl_T3RNGC_0002,bnk_000000000002,125742.51,netbanking,12.00,2.16,1257.43,2025-11-04,train,0
pay_00000000000210,setl_T3RNGC_0002,bnk_000000000002,6733.00,upi,0.00,0.00,67.33,2025-11-04,train,0
pay_00000000000299,setl_T3RNGC_0002,bnk_000000000002,33464.10,netbanking,12.00,2.16,334.64,2025-11-04,train,0
pay_00000000000327,setl_T3RNGC_0002,bnk_000000000002,26964.57,upi,0.00,0.00,269.65,2025-11-04,train,0
pay_00000000000392,setl_T3RNGC_0002,bnk_000000000002,43391.66,netbanking,12.00,2.16,433.92,2025-11-04,train,0
pay_00000000000550,setl_T3RNGC_0002,bnk_000000000002,11877.48,netbanking,12.00,2.16,118.77,2025-11-04,train,0
pay_00000000000813,setl_T3RNGC_0002,bnk_000000000002,7979.61,card,139.64,25.14,79.80,2025-11-04,train,0
pay_00000000001170,setl_T3RNGC_0002,bnk_000000000002,4829.24,card,84.51,15.21,48.29,2025-11-04,train,0
pay_00000000001221,setl_T3RNGC_0002,bnk_000000000002,4709.99,netbanking,12.00,2.16,47.10,2025-11-04,train,0
pay_00000000001234,setl_T3RNGC_0002,bnk_000000000002,4175.00,netbanking,12.00,2.16,41.75,2025-11-04,train,0
pay_00000000001246,setl_T3RNGC_0002,bnk_000000000002,19371.00,card,338.99,61.02,0.00,2025-11-04,train,0
pay_00000000001283,setl_T3RNGC_0002,bnk_000000000002,218203.49,wallet,4582.27,824.81,0.00,2025-11-04,train,0
