bank_txn_id,settlement_id,component,amount,split
bnk_000000000001,setl_T1RNGA_0001,gross,51107.83,train
bnk_000000000001,setl_T1RNGA_0001,platform_fee,-399.70,train
bnk_000000000001,setl_T1RNGA_0001,gst_on_fee,-71.97,train
bnk_000000000001,setl_T1RNGA_0001,tds_194o,-334.72,train
bnk_000000000001,setl_T1RNGA_0001,TOTAL_bank_credit,50301.44,train
bnk_000000000002,setl_T1RNGA_0002,gross,9462.14,train
bnk_000000000002,setl_T1RNGA_0002,platform_fee,-41.07,train
bnk_000000000002,setl_T1RNGA_0002,gst_on_fee,-7.40,train
bnk_000000000002,setl_T1RNGA_0002,tds_194o,-21.26,train
bnk_000000000002,setl_T1RNGA_0002,reserve_held,-111.68,train
bnk_000000000002,setl_T1RNGA_0002,TOTAL_bank_credit,9280.73,train
bnk_000000000003,setl_T1RNGA_0003,gross,19002.37,train
bnk_000000000003,setl_T1RNGA_0003,platform_fee,-81.86,train
bnk_000000000003,setl_T1RNGA_0003,gst_on_fee,-14.74,train
bnk_000000000003,setl_T1RNGA_0003,tds_194o,-127.33,train
bnk_000000000003,setl_T1RNGA_0003,reserve_held,-130.51,train
bnk_000000000003,setl_T1RNGA_0003,TOTAL_bank_credit,18647.93,train
bnk_000000000004,setl_T1RNGA_0004,gross,77180.02,train
bnk_000000000004,setl_T1RNGA_0004,platform_fee,-782.59,train
bnk_000000000004,setl_T1RNGA_0004,gst_on_fee,-140.86,train
bnk_000000000004,setl_T1RNGA_0004,tds_194o,-390.11,train
bnk_000000000004,setl_T1RNGA_0004,reserve_held,-1807.41,train
bnk_000000000004,setl_T1RNGA_0004,TOTAL_bank_credit,74059.05,train
bnk_000000000005,setl_T1RNGA_0005,gross,71890.66,train
bnk_000000000005,setl_T1RNGA_0005,platform_fee,-666.95,train
bnk_000000000005,setl_T1RNGA_0005,gst_on_fee,-120.04,train
bnk_000000000005,setl_T1RNGA_0005,tds_194o,-392.66,train
bnk_000000000005,setl_T1RNGA_0005,reserve_held,-1628.05,train
