payment_id,settlement_id,bank_txn_id,amount,method,fee,gst,tds,settle_date,split,ambiguous
pay_00000000000269,setl_T1RNGA_0001,bnk_000000000001,1016.89,upi,2.54,0.46,10.17,2025-11-04,train,0
pay_00000000000375,setl_T1RNGA_0001,bnk_000000000001,3136.32,card,70.57,12.70,31.36,2025-11-04,train,0
pay_00000000000553,setl_T1RNGA_0001,bnk_000000000001,620.85,netbanking,16.55,2.98,0.00,2025-11-04,train,0
pay_00000000000743,setl_T1RNGA_0001,bnk_000000000001,1030.00,upi,2.58,0.46,0.00,2025-11-04,train,0
pay_00000000000783,setl_T1RNGA_0001,bnk_000000000001,395.90,upi,0.99,0.18,3.96,2025-11-04,train,0
pay_00000000000792,setl_T1RNGA_0001,bnk_000000000001,2280.00,upi,5.70,1.03,0.00,2025-11-04,train,0
pay_00000000000817,setl_T1RNGA_0001,bnk_000000000001,13737.45,netbanking,49.34,8.88,137.37,2025-11-04,train,0
pay_00000000000831,setl_T1RNGA_0001,bnk_000000000001,708.41,card,15.94,2.87,7.08,2025-11-04,train,0
pay_00000000000880,setl_T1RNGA_0001,bnk_000000000001,720.47,card,16.21,2.92,7.20,2025-11-04,train,0
pay_00000000000963,setl_T1RNGA_0001,bnk_000000000001,2880.00,upi,7.20,1.30,0.00,2025-11-04,train,0
pay_00000000000984,setl_T1RNGA_0001,bnk_000000000001,383.82,upi,0.96,0.17,3.84,2025-11-04,train,0
pay_00000000000989,setl_T1RNGA_0001,bnk_000000000001,327.00,netbanking,15.82,2.85,0.00,2025-11-04,train,0
pay_00000000001101,setl_T1RNGA_0001,bnk_000000000001,1057.00,netbanking,17.64,3.18,0.00,2025-11-04,train,0
pay_00000000001139,setl_T1RNGA_0001,bnk_000000000001,597.00,wallet,12.24,2.20,5.97,2025-11-04,train,0
pay_00000000001379,setl_T1RNGA_0001,bnk_000000000001,1026.14,upi,2.57,0.46,10.26,2025-11-04,train,0
pay_00000000001445,setl_T1RNGA_0001,bnk_000000000001,848.00,card,19.08,3.43,8.48,2025-11-04,train,0
pay_00000000001618,setl_T1RNGA_0001,bnk_000000000001,248.99,upi,0.62,0.11,0.00,2025-11-04,train,0
pay_00000000001765,setl_T1RNGA_0001,bnk_000000000001,883.57,card,19.88,3.58,0.00,2025-11-04,train,0
pay_00000000001912,setl_T1RNGA_0001,bnk_000000000001,991.99,card,22.32,4.02,9.92,2025-11-04,train,0
