settlement_id,utr,gross,fees,gst,tds,net,settled_at,instant
setl_T2RNGB_0001,807646529245,12995.83,137.91,24.82,66.86,12466.23,2025-11-04T18:30:00+05:30,0
setl_T2RNGB_0002,,25280.58,201.58,36.29,84.58,24573.93,2025-11-04T18:30:00+05:30,0
setl_T2RNGB_0003,HDFCR920251104829304,66536.98,449.56,80.92,388.60,64861.17,2025-11-04T18:30:00+05:30,0
setl_T2RNGB_0004,HDFCN52025110439801520,51229.51,159.52,28.71,193.05,50484.20,2025-11-04T18:30:00+05:30,0
setl_T2RNGB_0005,HDFCN92025110687555544,26556.84,417.93,75.22,171.66,25012.55,2025-11-06T18:30:00+05:30,0
setl_T2RNGB_0006,L7LXCGVDSEEL2G5I,62390.75,509.33,91.67,299.42,59613.67,2025-11-06T18:30:00+05:30,0
setl_T2RNGB_0007,HDFCN22025110648978037,110323.84,1102.59,198.46,611.83,106103.19,2025-11-06T18:30:00+05:30,0
setl_T2RNGB_0008,230545893638,158528.54,1359.03,244.63,993.29,163310.60,2025-11-06T18:30:00+05:30,0
setl_T2RNGB_0009,ARKHX0TFSAPMDUSM,17126.51,235.97,42.47,61.04,15706.73,2025-11-07T18:30:00+05:30,0
setl_T2RNGB_0010,626237216473,25425.05,237.74,42.81,141.26,23882.80,2025-11-07T18:30:00+05:30,0
setl_T2RNGB_0011,225290376154,98702.01,544.86,98.08,643.79,95209.77,2025-11-07T18:30:00+05:30,0
setl_T2RNGB_0012,HDFCR820251107398362,45888.80,333.63,60.06,243.89,43930.88,2025-11-07T18:30:00+05:30,0
setl_T2RNGB_0013,HDFCR420251110676114,60758.42,686.84,123.64,456.11,57685.98,2025-11-10T18:30:00+05:30,0
setl_T2RNGB_0014,HDFCN12025111049242267,39887.55,455.03,81.93,218.88,37966.94,2025-11-10T18:30:00+05:30,0
setl_T2RNGB_0015,HDFCR620251110983089,144969.42,1408.61,253.55,580.77,141738.40,2025-11-10T18:30:00+05:30,0
setl_T2RNGB_0016,430161679196,107110.03,927.21,166.92,509.79,103425.83,2025-11-10T18:30:00+05:30,0
setl_T2RNGB_0017,011021921156,13669.13,211.03,37.99,31.13,12905.66,2025-11-11T18:30:00+05:30,0
setl_T2RNGB_0018,908268000222,21583.33,189.84,34.18,92.87,20979.45,2025-11-11T18:30:00+05:30,0
setl_T2RNGB_0019,005708218020,71980.70,519.78,93.57,490.09,82167.22,2025-11-11T18:30:00+05:30,0
setl_T2RNGB_0020,HDFCR320251111045662,119827.97,915.86,164.82,824.54,121713.63,2025-11-11T18:30:00+05:30,0
setl_T2RNGB_0021,HDFCR920251112435165,80831.83,717.58,129.16,193.76,75532.48,2025-11-12T18:30:00+05:30,0
setl_T2RNGB_0022,U6CPMY42GPV9XWP3,113745.47,947.13,170.47,665.94,108490.86,2025-11-12T18:30:00+05:30,0
setl_T2RNGB_0023,HDFCN42025111287254316,228832.61,1929.27,347.27,945.27,209054.70,2025-11-12T18:30:00+05:30,0
setl_T2RNGB_0024,HDFCN62025111223060571,189946.66,1954.39,351.80,1182.07,178600.48,2025-11-12T18:30:00+05:30,0
setl_T2RNGB_0025,HDFCR220251113545870,9948.49,55.88,10.06,86.69,8175.06,2025-11-13T18:30:00+05:30,0
setl_T2RNGB_0026,974346166667,29820.86,283.69,51.08,215.91,27776.78,2025-11-13T18:30:00+05:30,0
setl_T2RNGB_0027,HDFCN62025111330950173,96599.49,746.71,134.42,363.22,92784.56,2025-11-13T18:30:00+05:30,0
setl_T2RNGB_0028,740987805521,64360.07,516.74,93.03,363.50,62262.42,2025-11-13T18:30:00+05:30,0
setl_T2RNGB_0029,HDFCN12025111534525485,13963.05,134.98,24.30,129.27,13106.02,2025-11-15T18:30:00+05:30,0
setl_T2RNGB_0030,298977842241,40765.16,351.97,63.35,231.76,68002.31,2025-11-15T18:30:00+05:30,0
setl_T2RNGB_0031,037457528962,49935.00,511.54,92.05,234.32,55299.14,2025-11-15T18:30:00+05:30,0
setl_T2RNGB_0032,HDFCN92025111554884299,72688.86,634.60,114.25,318.84,70219.49,2025-11-15T18:30:00+05:30,0
setl_T2RNGB_0033,HDFCR520251117999471,48605.13,538.08,96.86,316.27,47653.92,2025-11-17T18:30:00+05:30,1
setl_T2RNGB_0034,702011556390,23548.67,75.26,13.55,205.67,22465.16,2025-11-17T18:30:00+05:30,0
setl_T2RNGB_0035,HDFCR120251117101394,84972.72,979.20,176.27,452.45,80540.60,2025-11-17T18:30:00+05:30,0
setl_T2RNGB_0036,777966987483,56749.81,614.80,110.65,376.15,54147.83,2025-11-17T18:30:00+05:30,0
setl_T2RNGB_0037,982270268540,79309.77,917.41,165.14,608.27,75135.93,2025-11-17T18:30:00+05:30,0
setl_T2RNGB_0038,HDFCR220251118756745,31653.59,380.59,68.52,192.14,29918.54,2025-11-18T18:30:00+05:30,0
setl_T2RNGB_0039,HDFCN42025111895502988,60123.43,515.09,92.72,370.56,56383.36,2025-11-18T18:30:00+05:30,0
setl_T2RNGB_0040,HDFCR320251118091869,119349.85,1209.94,217.79,613.62,111103.85,2025-11-18T18:30:00+05:30,0
setl_T2RNGB_0041,HDFCN72025111868158353,178319.22,1565.78,281.85,690.70,172966.54,2025-11-18T18:30:00+05:30,0
setl_T2RNGB_0042,HDFCN92025111980356592,122880.55,1268.17,228.32,526.83,120857.23,2025-11-19T18:30:00+05:30,1
setl_T2RNGB_0043,,11807.35,162.43,29.24,84.21,10473.10,2025-11-19T18:30:00+05:30,0
setl_T2RNGB_0044,430979701451,43721.37,362.81,65.31,297.54,41654.27,2025-11-19T18:30:00+05:30,0
setl_T2RNGB_0045,DZW0XQ901HVTASWD,139001.26,1295.98,233.28,686.91,131997.77,2025-11-19T18:30:00+05:30,0
setl_T2RNGB_0046,,179107.26,1637.82,294.81,854.33,170687.59,2025-11-19T18:30:00+05:30,0
setl_T2RNGB_0047,HDFCR420251120612461,70660.36,841.30,151.46,254.02,69413.58,2025-11-20T18:30:00+05:30,1
setl_T2RNGB_0048,HDFCN92025112001698858,25189.91,426.35,76.74,149.53,23566.72,2025-11-20T18:30:00+05:30,0
setl_T2RNGB_0049,HDFCR720251120985271,34540.98,456.21,82.13,258.02,29007.93,2025-11-20T18:30:00+05:30,0
setl_T2RNGB_0050,520939624238,94022.07,945.12,170.12,431.54,103860.75,2025-11-20T18:30:00+05:30,0
setl_T2RNGB_0051,HDFCR920251120792131,58462.41,353.34,63.60,260.88,42908.60,2025-11-20T18:30:00+05:30,0
setl_T2RNGB_0052,HDFCN82025112179930268,39989.77,670.45,120.67,197.70,39000.95,2025-11-21T18:30:00+05:30,1
setl_T2RNGB_0053,589734561479,82178.83,1047.49,188.55,368.33,94540.84,2025-11-21T18:30:00+05:30,0
setl_T2RNGB_0054,HDFCN22025112183357714,75993.26,653.73,117.63,421.65,70931.06,2025-11-21T18:30:00+05:30,0
setl_T2RNGB_0055,957079019213,50919.21,389.27,70.08,303.79,56811.05,2025-11-24T18:30:00+05:30,0
setl_T2RNGB_0056,647418978624,44650.67,392.57,70.67,276.02,43175.56,2025-11-24T18:30:00+05:30,0
setl_T2RNGB_0057,HDFCR320251126672342,58106.50,459.86,82.80,241.63,54077.06,2025-11-26T18:30:00+05:30,0
setl_T2RNGB_0058,20N6EE6PEMVZIX14,39821.28,403.27,72.58,199.06,36477.18,2025-11-26T18:30:00+05:30,0
setl_T2RNGB_0059,JQJ74G1K9HYDX9M9,44533.60,483.88,87.11,282.17,38559.48,2025-11-27T18:30:00+05:30,0
setl_T2RNGB_0060,HDFCR520251127623576,124113.81,1029.93,185.40,703.23,113016.43,2025-11-27T18:30:00+05:30,0
setl_T2RNGB_0061,338821924016,207171.12,2016.50,362.96,1312.08,181174.01,2025-11-27T18:30:00+05:30,0
setl_T2RNGB_0062,HDFCN92025112761540897,247933.14,2163.06,389.36,1499.03,234281.11,2025-11-27T18:30:00+05:30,0
