dispute_id,payment_id,amount,fee,raised_at_ist,reversed_at_ist
disp_000000000001,pay_00000000000184,730.35,300.00,2025-11-11T00:49:42+05:30,2025-11-27T19:17:12+05:30
disp_000000000002,pay_00000000000830,590.46,300.00,2025-11-30T20:30:39+05:30,
disp_000000000003,pay_00000000003085,283.92,300.00,2025-11-18T08:02:19+05:30,
disp_000000000004,pay_00000000001346,645.66,300.00,2025-11-10T08:52:25+05:30,2025-11-21T17:22:46+05:30
disp_000000000005,pay_00000000004267,295.79,300.00,2025-11-16T13:17:56+05:30,2025-11-26T10:01:56+05:30
disp_000000000006,pay_00000000000791,389.99,300.00,2025-11-21T20:37:18+05:30,
disp_000000000007,pay_00000000002053,962.59,300.00,2025-11-22T06:02:35+05:30,
disp_000000000008,pay_00000000003641,915.00,300.00,2025-11-30T20:44:30+05:30,
disp_000000000009,pay_00000000002353,1007.00,300.00,2025-11-30T01:17:55+05:30,
disp_000000000010,pay_00000000001477,216.44,300.00,2025-11-30T23:00:06+05:30,
disp_000000000011,pay_00000000000472,1003.09,300.00,2025-11-18T20:53:36+05:30,
disp_000000000012,pay_00000000003590,962.00,300.00,2025-11-27T00:31:10+05:30,
disp_000000000013,pay_00000000002018,513.87,300.00,2025-11-17T22:12:36+05:30,2025-11-26T01:41:40+05:30
disp_000000000014,pay_00000000003958,107.07,300.00,2025-11-23T11:44:18+05:30,
disp_000000000015,pay_00000000001002,248.78,300.00,2025-11-15T12:55:19+05:30,
disp_000000000016,pay_00000000000279,17245.00,300.00,2025-11-19T10:06:39+05:30,2025-12-01T23:45:58+05:30
disp_000000000017,pay_00000000001876,1476.00,300.00,2025-11-14T08:00:32+05:30,
disp_000000000018,pay_00000000003028,495.00,300.00,2025-11-26T23:11:37+05:30,
disp_000000000019,pay_00000000001354,791.32,300.00,2025-11-30T12:43:11+05:30,
disp_000000000020,pay_00000000001081,564.87,300.00,2025-11-30T09:15:46+05:30,
disp_000000000021,pay_00000000002355,472.52,300.00,2025-11-30T19:25:36+05:30,
disp_000000000022,pay_00000000002473,510.79,300.00,2025-11-24T12:53:22+05:30,
disp_000000000023,pay_00000000001255,252.00,300.00,2025-11-28T10:38:42+05:30,2025-12-03T12:38:44+05:30
disp_000000000024,pay_00000000004061,795.00,300.00,2025-11-30T06:37:30+05:30,
disp_000000000025,pay_00000000000444,2175.00,300.00,2025-11-10T10:17:00+05:30,2025-11-21T20:28:17+05:30
disp_000000000026,pay_00000000003555,745.99,300.00,2025-11-30T17:49:30+05:30,
disp_000000000027,pay_00000000001520,916.00,300.00,2025-11-27T23:18:50+05:30,
disp_000000000028,pay_00000000001211,1187.00,300.00,2025-11-18T22:21:27+05:30,2025-12-01T11:19:46+05:30
disp_000000000029,pay_00000000003595,984.54,300.00,2025-11-30T01:33:00+05:30,
disp_000000000030,pay_00000000001788,481.00,300.00,2025-11-30T23:49:05+05:30,
disp_000000000031,pay_00000000000340,197.00,300.00,2025-11-30T16:12:30+05:30,
disp_000000000032,pay_00000000003985,164.51,300.00,2025-11-30T19:13:14+05:30,
disp_000000000033,pay_00000000000450,109.98,300.00,2025-11-30T09:37:39+05:30,
disp_000000000034,pay_00000000000624,572.44,300.00,2025-11-24T14:25:22+05:30,
disp_000000000035,pay_00000000001575,492.67,300.00,2025-11-22T18:20:12+05:30,
disp_000000000036,pay_00000000002263,725.00,300.00,2025-11-15T07:29:46+05:30,2025-11-28T11:56:25+05:30
disp_000000000037,pay_00000000000904,475.00,300.00,2025-11-11T08:54:31+05:30,
disp_000000000038,pay_00000000002840,974.47,300.00,2025-11-30T15:36:42+05:30,
disp_000000000039,pay_00000000000100,762.00,300.00,2025-11-23T02:09:16+05:30,
disp_000000000040,pay_00000000004200,831.00,300.00,2025-11-28T06:23:57+05:30,
